work_year,job_title,job_category,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_euros
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,120060
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,106720
2023,Research Analyst,Data Science and Research,United States,Entry-level,Full-time,Remote,United States,M,74888
2023,Research Analyst,Data Science and Research,United States,Entry-level,Full-time,Remote,United States,M,40020
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,155480
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,84640
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,152720
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,67252
2023,Research Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,174800
2023,Research Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,151800
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,281152
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,134872
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,138000
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,110400
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,253000
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,134688
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,191820
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,151800
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,238004
